,Alliance,DUP,Other or none,SDLP,Sinn Féin,UUP
TRAVRES2,0.7319629760242619,0.5208195900911031,0.7254334003292888,0.7635883590037161,0.7461209906583592,0.5049958146531598
TRAVCOLL,0.9105526125932606,0.7527100930886073,0.8682695832760869,0.9081282617415284,0.8904917356262033,0.7570656687956006
TRAVREL,0.7295358916109707,0.49521098382847445,0.7335078759710935,0.7084191596007017,0.6996052111301553,0.5004426718683952
EERES,0.9820052191335966,0.8697775236940286,0.947598969605934,0.9697976092976932,0.9448658983047501,0.9270185224424405
EECOLL,0.9863246936756678,0.9210687435505205,0.9650304889034848,0.9867600250753779,0.9765844002156752,0.9660625466834797
EEREL,0.9618554004395595,0.8318894367652128,0.9105851310228613,0.9594195519453634,0.9071822744020868,0.8871799608875713
MUSRES2,0.9629715296407886,0.7312771531347629,0.8900822645747212,0.9536911578379316,0.9226332166194875,0.8616561543160364
MUSCOLL2,0.9760741818421881,0.812319197954873,0.9326747964517469,0.971413019698461,0.9400199729854046,0.923260658260387
MUSREL2,0.8424017357127237,0.480289757195227,0.7504049656848951,0.8513565056779087,0.7939434415749663,0.6274295629094984
MEGRES,0.9768390620858883,0.8450396399257916,0.9408487628127473,0.9611664266120733,0.9511736760141819,0.9043730842133223
MEGCOLL,0.9884011068961989,0.905565873217587,0.9607263246535666,0.9793674703223939,0.9649787142293835,0.9481565551100977
MEGREL,0.9273074523518843,0.7067323374524829,0.8745228832688151,0.9098517991417141,0.8643128545922465,0.7850155481708996
SUPPORT_ASYLUM_SEEKERS,0.8245518219541512,0.42186152053331843,0.565718127828138,0.8001149346331459,0.7062140578195485,0.5580448448823453
SUPPORT_REFUGEES,0.8589774891929349,0.4899873245558307,0.6065121712527093,0.8218068017725988,0.7213838879438665,0.6273588021770727
BELIEVE_REFUGEES_CONTRIB,0.6571210496765065,0.2581544908294423,0.4015129444131802,0.6319560712209552,0.5390143881138828,0.357465203125233
PREFER_MIXED_SCHOOL,0.8658391588671749,0.5157075830847547,0.6858663683935782,0.6492475947405656,0.5308346513379207,0.6576267760104111
PREFER_MIXED_NEIGHBOURHOOD,0.9097421320128242,0.5826666526978885,0.7098228336852134,0.8610281229615819,0.6711297740269456,0.7501818453579338
PREFER_MIXED_WORKPLACE,0.9324348881985612,0.7948555645719001,0.818677570033449,0.9306105188913665,0.8543478514206148,0.8851984521991159
