IRBRIT,question,45 or over,Under 45
:ie: only,Would willingly accept a Muslim as a resident in their local area,94.47122271206155,95.01639047504004
More :ie:,Would willingly accept a Muslim as a resident in their local area,93.60742699157971,94.68339885925454
Both equally,Would willingly accept a Muslim as a resident in their local area,92.13242552987685,92.25306701860796
More :gb:,Would willingly accept a Muslim as a resident in their local area,84.98811546106482,89.54202910790903
:gb: only,Would willingly accept a Muslim as a resident in their local area,76.77170834464857,80.69502349667636
:ie: only,Agree that it is our duty to provide protection to refugees,83.90655651236675,73.01819040610211
More :ie:,Agree that it is our duty to provide protection to refugees,83.05831998593285,73.08297898502177
Both equally,Agree that it is our duty to provide protection to refugees,78.41023908999703,61.39052430702409
More :gb:,Agree that it is our duty to provide protection to refugees,69.22671143083261,67.04281673549796
:gb: only,Agree that it is our duty to provide protection to refugees,53.82106619793981,47.03209071778722
:ie: only,Would prefer to live in a mixed neighbourhood,81.40439777853042,64.08202899641921
More :ie:,Would prefer to live in a mixed neighbourhood,90.36180677954407,81.53770609604983
Both equally,Would prefer to live in a mixed neighbourhood,90.035253093431,82.21005148411288
More :gb:,Would prefer to live in a mixed neighbourhood,82.09804851159642,74.70128626544613
:gb: only,Would prefer to live in a mixed neighbourhood,65.31217015195256,55.11759800070601
