IRBRIT,question,Always lived in NI,Has lived outside of NI
:ie: only,Would willingly accept a Muslim as a resident in their local area,94.11166411826295,95.82325321222834
More :ie:,Would willingly accept a Muslim as a resident in their local area,92.39788700783329,96.87431707469996
Both equally,Would willingly accept a Muslim as a resident in their local area,91.42590819263648,93.129920375716
More :gb:,Would willingly accept a Muslim as a resident in their local area,84.76858319571153,90.86700331323222
:gb: only,Would willingly accept a Muslim as a resident in their local area,75.17486410261462,85.73541922408371
:ie: only,Agree that it is our duty to provide protection to refugees,75.87460126298635,82.21063427294001
More :ie:,Agree that it is our duty to provide protection to refugees,74.56615812399075,85.49164985545464
Both equally,Agree that it is our duty to provide protection to refugees,67.92379501014757,80.21694951369925
More :gb:,Agree that it is our duty to provide protection to refugees,66.60904521663696,71.98397018722454
:gb: only,Agree that it is our duty to provide protection to refugees,45.2360528851926,63.80362740964297
:ie: only,Would prefer to live in a mixed neighbourhood,70.01170346727018,76.52490832758754
More :ie:,Would prefer to live in a mixed neighbourhood,84.84541511326293,89.1910044529467
Both equally,Would prefer to live in a mixed neighbourhood,85.79254546623547,90.05857734945538
More :gb:,Would prefer to live in a mixed neighbourhood,77.1595552951157,83.35378158346192
:gb: only,Would prefer to live in a mixed neighbourhood,56.81686834446096,70.26563275735643
